source,target
chileconci3ncia,uta_otl
cgainza,ANID_Abierta
MunozPalma,ANID_Abierta
tibu774,noticiasdigi
OpenSciTalk,abc_cordoba
marijo_de_arcia,Yar01C
jldiaz_ar,abc_cordoba
barb_rivera,ANID_Abierta
Investiga_UCEN,ANID_Abierta
OpenSciTalk,ANID_Abierta
Ucen,ANID_Abierta
villegas_pao,uta_otl
barb_rivera,uta_otl
OpenSciTalk,uta_otl
skjimenez,UCENopenScience
capaudas2012,AlejoOlaya
alexbaez,GobiernoUAI
teoriantropolog,TEC_ar
AytoMurcia,Museociencia
MajoPineyrua,pdasilve
juand_cortes,AlejoOlaya
AntunRomulo,OEIEcuador
luisfer81567047,AlejoOlaya
MyriamGarn,pdasilve
1jonatan2,elmachete_mx
LinaporlaEdU,AlejoOlaya
teoriantropolog,COMECSO
eskole,AlejoOlaya
lgzuan,pdasilve
ONVentura,pdasilve
fcaiafa,pdasilve
aiqu_uruguay,IPMontevideo
Edy_V77,elmachete_mx
SofiaSycamore,OEIEcuador
DanteAlmeida10,RevistaCTS
DanteAlmeida10,OEIEcuador
mc_cogal,elmachete_mx
tereaxe78,pdasilve
AntroSocyJuri,UCENopenScience
cesaretamayo,AlejoOlaya
OpenSciTalk,javimamendez
CarmitaAlvarez1,ces_ec
pentytef,ces_ec
ladriyoo,AlejoOlaya
barbablanc4,UCENopenScience
g_bernall,Juan_Larrosa1
upbcolombia,AlejoOlaya
Facdeh_UCEN,UCENopenScience
slondonouribe,AlejoOlaya
dreamgirl_3vil,UCENopenScience
TurturroLucas,TEC_ar
janema_7,AlejoOlaya
Fegoc_UCEN,UCENopenScience
jrtuits,RevistaCTS
MSilvaMoyano,AlejoOlaya
Jaimeveme,elmachete_mx
EAFIT,AlejoOlaya
damiantears,elmachete_mx
soledad_qv,UCENopenScience
Investiga_UCEN,UCENopenScience
Ucen,UCENopenScience
andidelfuturo,AlejoOlaya
OEIChile,RevistaCTS
LuisErnestoPaz6,conectorial
PortugalOei,RevistaCTS
iremi_harumi,UCENopenScience
MutioJorge,pdasilve
nachovi61,pdasilve
OEIEcuador,RevistaCTS
Ricyt_Indicador,RevistaCTS
CamiloJCO,RevistaCTS
ObservatorioCTS,RevistaCTS
IndicesRed,RevistaCTS
sorais,Juan_Larrosa1
carloscarballar,Juan_Larrosa1
catalinamorfin,Juan_Larrosa1
dgonzalezhdz,Juan_Larrosa1
dorisfm,Juan_Larrosa1
albayardo,Juan_Larrosa1
Fsierra5Fsierra,UCENopenScience
Pol_y_Analitica,Juan_Larrosa1
maraicolmenares,Juan_Larrosa1
LauraAlmada,IPMontevideo
PosgradosITESO,Juan_Larrosa1
ObsLegislativo,Juan_Larrosa1
ricosushi,Juan_Larrosa1
ivangvega,Juan_Larrosa1
BernardoMasini,Juan_Larrosa1
CENDES_UCV,saberucv
chillynieva,Juan_Larrosa1
rggja,Juan_Larrosa1
FZolessi,IPMontevideo
MauroSaezT,saberucv
Dolucy,saberucv
matg20,UCENopenScience
soledad_qv,UCENopenScience
OpenSciTalk,saberucv
OpenSciTalk,UCENopenScience
metodogolo,UCENopenScience
CarlosRuz_F,UCENopenScience
cgainza,ANID_Abierta
exploravalpo,Mabel_Keller
MunozPalma,ANID_Abierta
OpenSciTalk,Mabel_Keller
OpenSciTalk,revstul
OpenSciTalk,elapdis
OpenSciTalk,abc_cordoba
mairaga43610691,cytdanmarys
jldiaz_ar,abc_cordoba
verogomezvelez,SomosAGROSAVIA
LuisaEl73710047,cytdanmarys
barb_rivera,ANID_Abierta
infolar11,cytdanmarys
Innova_UV,exploravalpo
InvestigandoUV,exploravalpo
hada76,exploravalpo
Investiga_UCEN,ANID_Abierta
OpenSciTalk,ANID_Abierta
Ucen,ANID_Abierta
directorivic,cytdanmarys
loisinneth96,cytdanmarys
OpenSciTalk,SomosAGROSAVIA
DeisyPe67271973,cytdanmarys
uris84,cytdanmarys
salvarado284,cytdanmarys
salvarado284,cytdanmarys
Investiga_UCEN,UCENopenScience
Ucen,UCENopenScience
danavido,cibertecaria
infolar11,cytdanmarys
OpenSciTalk,cibertecaria
OpenSciTalk,exploravalpo
vargasformacion,cytdanmarys
vargasformacion,cytdanmarys
FundaciteGuaric,cytdanmarys
OpenSciTalk,revstul
OpenSciTalk,elapdis
corpoandes2022,cytdanmarys
ComunicaTacInfo,cytdanmarys
OpenSciTalk,exploravalpo
mi74218824,FundaciteGuaric
gjgonzalez7,cytdanmarys
Fegoc_UCEN,UCENopenScience
YenniKaro1,FundaciteGuaric
ComunicaTacInfo,cytdanmarys
OpenSciTalk,FundaciteGuaric
skjimenez,UCENopenScience
muhtar_wicem,FundaciteGuaric
celina_sulbaran,cytdanmarys
celina_sulbaran,cytdanmarys
Yar01C,cytdanmarys
miljimenez05,cytdanmarys
LuisaEl73710047,cytdanmarys
FIIIDT_OFICIAL,cytdanmarys
MislenysFuenma1,cytdanmarys
auxiliadoraurq2,cytdanmarys
auxiliadoraurq2,cytdanmarys
OpenSciTalk,UCENopenScience
skjimenez,UCENopenScience
Dilia1972,cytdanmarys
infliberamerica,cytdanmarys
yamilis221,cytdanmarys
gianinol,exploravalpo
edguita12345,cytdanmarys
39Virmary39,cytdanmarys
39Virmary39,cytdanmarys
SocialesUV,exploravalpo
AlidaCorzo,cytdanmarys
FundaciteLARA,cytdanmarys
jjmadridh,cytdanmarys
jjmadridh,cytdanmarys
jjmadridh,cytdanmarys
carlot_la,cytdanmarys
OpenSciTalk,revstul
OpenSciTalk,elapdis
SocializaCIDA,cytdanmarys
SocializaCIDA,cytdanmarys
OpenScienceFAIR,ANID_Abierta
PelaezRolando1,cytdanmarys
samuels95392574,cytdanmarys
HpsuvCarlos,cytdanmarys
HpsuvCarlos,cytdanmarys
CedenoYusmira,cytdanmarys
jgarridoFfm,cytdanmarys
LaRosaInfoven,cytdanmarys
leonpsuv1,cytdanmarys
ThaChacoa,cytdanmarys
surcomuna,cytdanmarys
infomovil19,cytdanmarys
infomovil19,cytdanmarys
torres_jahana,cytdanmarys
olgapereiraj,cytdanmarys
olgapereiraj,cytdanmarys
ipostelcapital,cytdanmarys
ipostelcapital,cytdanmarys
derlytalopez,cytdanmarys
Guricoinfocent1,cytdanmarys
InPortuguesa,cytdanmarys
comunicacojedes,cytdanmarys
Guricoinfocent1,cytdanmarys
comunicacojedes,cytdanmarys
diazmontes18,cytdanmarys
FundacitezuliaO,cytdanmarys
BcCojedes,cytdanmarys
FundacitezuliaO,cytdanmarys
surcomuna,cytdanmarys
jgarridoFfm,cytdanmarys
RosirisD,cytdanmarys
parranestor,cytdanmarys
LOISCM3,cytdanmarys
Yeseg7,cytdanmarys
Yeseg7,cytdanmarys
MaraRoj18,cytdanmarys
centro_cida,cytdanmarys
centro_cida,cytdanmarys
OpenSciTalk,exploravalpo
OpenSciTalk,jhm_ciencia
levigalindo,saberucv
OpenSciTalk,cytdanmarys
fxgv5,cytdanmarys
fxgv5,cytdanmarys
OpenSciTalk,cytdanmarys
OpenSciTalk,revstul
OpenSciTalk,elapdis
carlosp403,cytdanmarys
fundacitemerida,cytdanmarys
OpenSciTalk,SomosAGROSAVIA
OpenSciTalk,exploravalpo
edisbel04,cytdanmarys
radio_festival,exploravalpo
barb_rivera,ANID_Abierta
