from,to
FedraOij,NicolasMaduro
LucesAvila,NicolasMaduro
SECTEI_AAC,SEP_mx
chileconci3ncia,uta_otl
rrocio,SEP_mx
cgainza,ANID_Abierta
MunozPalma,ANID_Abierta
YaditzaHenrriq1,Mippcivzla
yadismar31,NicolasMaduro
SamuelVargas80,LizyAcosta4
SamuelVargas80,ChuyLianet
MilaidisAuty,LizyAcosta4
tibu774,noticiasdigi
Gustavo41510164,agrariasunr
OpenSciTalk,abc_cordoba
marijo_de_arcia,Yar01C
jldiaz_ar,abc_cordoba
AlanGordo6,NicolasMaduro
anyeliszambran6,NicolasMaduro
barb_rivera,ANID_Abierta
Diana48923728,NicolasMaduro
Investiga_UCEN,ANID_Abierta
OpenSciTalk,ANID_Abierta
okofk1213,ChuyLianet
Ucen,ANID_Abierta
FelipeP12362531,NicolasMaduro
renaldy_leal,NicolasMaduro
DIrrite,NicolasMaduro
lagoida,ChuyLianet
amarilismatos47,ChuyLianet
yelitza96989818,NicolasMaduro
villegas_pao,uta_otl
barb_rivera,uta_otl
ChelaaVelasquez,NicolasMaduro
INNGENIAR,ciencia_ar
Jesus39403866,NicolasMaduro
AnaJime15966595,NicolasMaduro
ZamudioEstelita,SEP_mx
comunica_red,SGCSUCA
josegar66372682,NicolasMaduro
nephlyn,senacytgt
LAReferenciaAA,senacytgt
CCue0904,SEP_mx
spider0388,SEP_mx
JuanZanbrano3,NicolasMaduro
OpenSciTalk,uta_otl
pedroiescalona,SEP_mx
LorenaQba1,LizyAcosta4
luzardo_americo,NicolasMaduro
AlehiKoool,NicolasMaduro
pahua_ra,SEP_mx
MarisaSicilia,UCLM_OPE
RamnFer80548812,LizyAcosta4
skjimenez,UCENopenScience
Beatriz33099613,NicolasMaduro
JoseGre97739665,LizyAcosta4
lilidiaz8,LizyAcosta4
IVinajera,LizyAcosta4
AlexyeiMederos,LizyAcosta4
AleLRoss198,LizyAcosta4
samantha_font,LizyAcosta4
MerencioYulia,LizyAcosta4
BiariVelasquez,NicolasMaduro
DiazAquilar,LizyAcosta4
ManuelZ38059710,NicolasMaduro
corro_jhohan,LizyAcosta4
Chelsea76227131,LizyAcosta4
pakita_cuba,ChuyLianet
yordanyhabana,LizyAcosta4
UNICEN_Oficial,ciencia_ar
lukitascarbo88,ciencia_ar
capaudas2012,AlejoOlaya
YaniZambrano3,NicolasMaduro
Miguele48694990,ciencia_ar
JRebench,ciencia_ar
alexbaez,GobiernoUAI
renaldy_leal,NicolasMaduro
teoriantropolog,TEC_ar
AytoMurcia,Museociencia
MarcosMazoni,ECGobAbierto
laportego,Conacyt_MX
AlanGordo6,NicolasMaduro
MajoPineyrua,pdasilve
esperpentos,udeconcepcion
juand_cortes,AlejoOlaya
AntunRomulo,OEIEcuador
luisfer81567047,AlejoOlaya
MyriamGarn,pdasilve
1jonatan2,elmachete_mx
LinaporlaEdU,AlejoOlaya
teoriantropolog,COMECSO
LeskyRodriques,NicolasMaduro
LeyvaThaisRuiz,IYaracuy
eskole,AlejoOlaya
lgzuan,pdasilve
ONVentura,pdasilve
DIrrite,NicolasMaduro
fcaiafa,pdasilve
aiqu_uruguay,IPMontevideo
CastilloYoelina,PresidencialVen
CastilloYoelina,PresidencialVen
ElsaVela8,PresidencialVen
ElsaVela8,PresidencialVen
Edy_V77,elmachete_mx
SofiaSycamore,OEIEcuador
DanteAlmeida10,RevistaCTS
DanteAlmeida10,OEIEcuador
mgarridoarias,udeconcepcion
mc_cogal,elmachete_mx
gabbyvelascor,ECGobAbierto
gabbyvelascor,ECGobAbierto
irmajarai,ECGobAbierto
gabbyvelascor,ECGobAbierto
gabbyvelascor,ECGobAbierto
tereaxe78,pdasilve
josegar66372682,NicolasMaduro
AntroSocyJuri,UCENopenScience
cesaretamayo,AlejoOlaya
OpenSciTalk,javimamendez
CarmitaAlvarez1,ces_ec
pentytef,ces_ec
ladriyoo,AlejoOlaya
barbablanc4,UCENopenScience
g_bernall,Juan_Larrosa1
upbcolombia,AlejoOlaya
Facdeh_UCEN,UCENopenScience
slondonouribe,AlejoOlaya
Bctuab,DIL_SPAIN
dreamgirl_3vil,UCENopenScience
TurturroLucas,TEC_ar
janema_7,AlejoOlaya
Fegoc_UCEN,UCENopenScience
jhoneimi,NicolasMaduro
jrtuits,RevistaCTS
MSilvaMoyano,AlejoOlaya
Laumunozgon,amdelvaz
Jaimeveme,elmachete_mx
EAFIT,AlejoOlaya
galovargastvu,udeconcepcion
damiantears,elmachete_mx
soledad_qv,UCENopenScience
florez_yeisibel,NicolasMaduro
Investiga_UCEN,UCENopenScience
Ucen,UCENopenScience
andidelfuturo,AlejoOlaya
Adaramona3,NicolasMaduro
institutomora,Conacyt_MX
JuanZanbrano3,NicolasMaduro
AlbaniaChacin,NicolasMaduro
OEIChile,RevistaCTS
LuisErnestoPaz6,conectorial
PortugalOei,RevistaCTS
iremi_harumi,UCENopenScience
MutioJorge,pdasilve
nachovi61,pdasilve
OEIEcuador,RevistaCTS
Ricyt_Indicador,RevistaCTS
CamiloJCO,RevistaCTS
ObservatorioCTS,RevistaCTS
IndicesRed,RevistaCTS
xiomara48807472,NicolasMaduro
cristinajunyent,DIL_SPAIN
Wilmer_Luces,NicolasMaduro
Ciencia_UdeC,udeconcepcion
severaparra,NicolasMaduro
ManuelZ38059710,NicolasMaduro
jexsongonzalez,NicolasMaduro
yelitza96989818,NicolasMaduro
CHACON39348000,NicolasMaduro
Krstika,damianzepeda
orlan02592207,NicolasMaduro
sorais,Juan_Larrosa1
carloscarballar,Juan_Larrosa1
catalinamorfin,Juan_Larrosa1
SocratesSoltero,Conacyt_MX
dgonzalezhdz,Juan_Larrosa1
AnelZambrano3,NicolasMaduro
SAILAN42704711,NicolasMaduro
AlvaradoMaigle,NicolasMaduro
Richard75785,MPPPlanifica
dorisfm,Juan_Larrosa1
GladysA1949,NicolasMaduro
albayardo,Juan_Larrosa1
maria78393908,NicolasMaduro
maria27130653,NicolasMaduro
Fsierra5Fsierra,UCENopenScience
jjva290572,NicolasMaduro
RICARDA72391439,NicolasMaduro
Pol_y_Analitica,Juan_Larrosa1
maraicolmenares,Juan_Larrosa1
suleny73,NicolasMaduro
RonnyO24,NicolasMaduro
NestorP1957,NicolasMaduro
chavito64349839,NicolasMaduro
MayraBez1979,NicolasMaduro
JoelMor81783497,NicolasMaduro
lupe52502272,NicolasMaduro
jonelvisBerrue1,NicolasMaduro
FelipeP12362531,NicolasMaduro
LauraAlmada,IPMontevideo
PosgradosITESO,Juan_Larrosa1
YaditzaHenrriq1,NicolasMaduro
ObsLegislativo,Juan_Larrosa1
Ana14233,NicolasMaduro
ricosushi,Juan_Larrosa1
ivangvega,Juan_Larrosa1
BernardoMasini,Juan_Larrosa1
Eneida14233,NicolasMaduro
carlos96464098,NicolasMaduro
renagonzalez26,NicolasMaduro
ruthxelygonz,NicolasMaduro
Natalia15786737,bmartinsanz
gif_uc,DIL_SPAIN
CENDES_UCV,saberucv
AdolfoCoboUC,DIL_SPAIN
Suarezzyoselin,NicolasMaduro
chillynieva,Juan_Larrosa1
MANUEL33825899,NicolasMaduro
isazayarkinson,NicolasMaduro
Carmen14233,NicolasMaduro
rggja,Juan_Larrosa1
FZolessi,IPMontevideo
rafavilwebsoc,amdelvaz
elvisguevara03,NicolasMaduro
Betty22451356,NicolasMaduro
deivy20498569,NicolasMaduro
alex79465321,NicolasMaduro
fany88790381,NicolasMaduro
MauroSaezT,saberucv
Jennife63197781,NicolasMaduro
antonie56063664,NicolasMaduro
KenndryWorm,NicolasMaduro
Nanci57550956,NicolasMaduro
Diana48923728,NicolasMaduro
Elianar1986,NicolasMaduro
alexflo1972,NicolasMaduro
RafaelV09675174,NicolasMaduro
karlisbeth14,NicolasMaduro
LisfanyC,NicolasMaduro
Aramartinbis,bmartinsanz
AlexB301000,NicolasMaduro
BettyA2386,NicolasMaduro
jennire42536050,NicolasMaduro
Dolucy,saberucv
AaronB1773,NicolasMaduro
cimatoficial,Conacyt_MX
EduardM64138290,NicolasMaduro
andrein04918568,NicolasMaduro
franrejon,amdelvaz
IDLofficial,DIL_SPAIN
matg20,UCENopenScience
Beatriz33099613,NicolasMaduro
Jleon301,NicolasMaduro
Vanessa28878968,NicolasMaduro
elcolsan,Conacyt_MX
soledad_qv,UCENopenScience
isabelmariapir6,NicolasMaduro
OpenSciTalk,saberucv
CentrosAnid,FONDAP_ACCDiS
OpenSciTalk,UCENopenScience
metodogolo,UCENopenScience
CarlosRuz_F,UCENopenScience
gusgame,amdelvaz
rodjeka,NicolasMaduro
FIUPM,amdelvaz
biblioUPM,amdelvaz
AquilinoAvila1,NicolasMaduro
LuigiPa31611205,NicolasMaduro
BarriosRonexis,NicolasMaduro
PabloDugarte14,NicolasMaduro
Katerinmontero7,NicolasMaduro
RACABarcelona,DIL_SPAIN
innostudy,amdelvaz
YessyBarrios4,NicolasMaduro
IDEA_fundacion,IVIC_oficial
Danielapena1993,NicolasMaduro
Denny05021990,NicolasMaduro
xiomara48807472,NicolasMaduro
RojasCastroA,amdelvaz
bibliocasapatin,amdelvaz
lluisanglada,amdelvaz
BibliometraF,amdelvaz
cgainza,ANID_Abierta
exploravalpo,Mabel_Keller
MunozPalma,ANID_Abierta
OpenSciTalk,Mabel_Keller
OpenSciTalk,revstul
OpenSciTalk,elapdis
OpenSciTalk,abc_cordoba
mairaga43610691,cytdanmarys
jldiaz_ar,abc_cordoba
verogomezvelez,SomosAGROSAVIA
LuisaEl73710047,cytdanmarys
barb_rivera,ANID_Abierta
infolar11,cytdanmarys
Innova_UV,exploravalpo
InvestigandoUV,exploravalpo
hada76,exploravalpo
Investiga_UCEN,ANID_Abierta
OpenSciTalk,ANID_Abierta
Ucen,ANID_Abierta
ConsMadrono,iaa_csic
directorivic,cytdanmarys
loisinneth96,cytdanmarys
OpenSciTalk,SomosAGROSAVIA
DeisyPe67271973,cytdanmarys
uris84,cytdanmarys
salvarado284,cytdanmarys
salvarado284,cytdanmarys
Investiga_UCEN,UCENopenScience
Ucen,UCENopenScience
danavido,cibertecaria
infolar11,cytdanmarys
OpenSciTalk,cibertecaria
OpenSciTalk,exploravalpo
vargasformacion,cytdanmarys
vargasformacion,cytdanmarys
FundaciteGuaric,cytdanmarys
OpenSciTalk,revstul
OpenSciTalk,elapdis
corpoandes2022,cytdanmarys
ComunicaTacInfo,cytdanmarys
Belice2012,iaa_csic
OpenSciTalk,exploravalpo
mi74218824,FundaciteGuaric
gjgonzalez7,cytdanmarys
Fegoc_UCEN,UCENopenScience
YenniKaro1,FundaciteGuaric
ComunicaTacInfo,cytdanmarys
OpenSciTalk,FundaciteGuaric
skjimenez,UCENopenScience
muhtar_wicem,FundaciteGuaric
celina_sulbaran,cytdanmarys
celina_sulbaran,cytdanmarys
Yar01C,cytdanmarys
miljimenez05,cytdanmarys
LuisaEl73710047,cytdanmarys
FIIIDT_OFICIAL,cytdanmarys
MislenysFuenma1,cytdanmarys
auxiliadoraurq2,cytdanmarys
auxiliadoraurq2,cytdanmarys
OpenSciTalk,UCENopenScience
skjimenez,UCENopenScience
Dilia1972,cytdanmarys
infliberamerica,cytdanmarys
yamilis221,cytdanmarys
gianinol,exploravalpo
edguita12345,cytdanmarys
39Virmary39,cytdanmarys
39Virmary39,cytdanmarys
MarcosViAp,manugrapevine
SocialesUV,exploravalpo
AlidaCorzo,cytdanmarys
IDEA_fundacion,fundacioninzit
FundaciteLARA,cytdanmarys
jjmadridh,cytdanmarys
jjmadridh,cytdanmarys
jjmadridh,cytdanmarys
carlot_la,cytdanmarys
OpenSciTalk,revstul
OpenSciTalk,elapdis
OpenSciTalk,manugrapevine
manugrapevine,iaa_csic
REDAstronomica,iaa_csic
susanasanchezex,iaa_csic
SocializaCIDA,cytdanmarys
SocializaCIDA,cytdanmarys
OpenScienceFAIR,ANID_Abierta
SocializaCIDA,fundacioninzit
PelaezRolando1,cytdanmarys
samuels95392574,cytdanmarys
HpsuvCarlos,cytdanmarys
HpsuvCarlos,cytdanmarys
CedenoYusmira,cytdanmarys
jgarridoFfm,cytdanmarys
LaRosaInfoven,cytdanmarys
leonpsuv1,cytdanmarys
ThaChacoa,cytdanmarys
surcomuna,cytdanmarys
infomovil19,cytdanmarys
infomovil19,cytdanmarys
torres_jahana,cytdanmarys
olgapereiraj,cytdanmarys
olgapereiraj,cytdanmarys
ipostelcapital,cytdanmarys
ipostelcapital,cytdanmarys
derlytalopez,cytdanmarys
Guricoinfocent1,cytdanmarys
InPortuguesa,cytdanmarys
comunicacojedes,cytdanmarys
Guricoinfocent1,cytdanmarys
comunicacojedes,cytdanmarys
diazmontes18,cytdanmarys
FundacitezuliaO,cytdanmarys
BcCojedes,cytdanmarys
FundacitezuliaO,cytdanmarys
surcomuna,cytdanmarys
jgarridoFfm,cytdanmarys
RosirisD,cytdanmarys
_CienciaAbierta,WillyDuran65
parranestor,cytdanmarys
LOISCM3,cytdanmarys
Yeseg7,cytdanmarys
Yeseg7,cytdanmarys
MaraRoj18,cytdanmarys
centro_cida,cytdanmarys
centro_cida,cytdanmarys
OpenSciTalk,exploravalpo
OpenSciTalk,jhm_ciencia
levigalindo,saberucv
OpenSciTalk,cytdanmarys
fxgv5,cytdanmarys
fxgv5,cytdanmarys
OpenSciTalk,cytdanmarys
OpenSciTalk,revstul
OpenSciTalk,elapdis
carlosp403,cytdanmarys
fundacitemerida,cytdanmarys
OpenSciTalk,SomosAGROSAVIA
OpenSciTalk,exploravalpo
edisbel04,cytdanmarys
radio_festival,exploravalpo
barb_rivera,ANID_Abierta
Matsu_mabel,ANID_Abierta
IFA_UV,exploravalpo
Mabel_Keller,exploravalpo
belkis25450547,cytdanmarys
MunozPalma,ANID_Abierta
OpenSciTalk,ANID_Abierta
MinCyTBolivar,cytdanmarys
jimdelarosa,ANID_Abierta
OpenUC3M,iaa_csic
Jadillemussa,UCENopenScience
samielgueta,Vridei_usach
infopaya27,infocentro_Ara
skjimenez,Vridei_usach
OpenSciTalk,revstul
OpenSciTalk,elapdis
rvletelier,exploravalpo
OpenSciTalk,fundacioninzit
centro_cida,fundacioninzit
florisaut,cytdanmarys
SocializaCIDA,cytdanmarys
OpenSciTalk,Vridei_usach
InfoLosHornos13,infocentro_Ara
InfoLosHornos13,infocentro_Ara
raulim50,cytdanmarys
ConatiOficial,cytdanmarys
cientificaMujer,exploravalpo
JFcoFuentealba,UCENopenScience
soylacarlii,UCENopenScience
EnderPerdomo4,cytdanmarys
OpenSciTalk,UCENopenScience
salaprensaCantv,cytdanmarys
carlot_la,cytdanmarys
OpenSciTalk,exploravalpo
luismaelpana,iaa_csic
fundacitetru,cytdanmarys
dulcey_lilibet,cytdanmarys
WilsonJose2212,cytdanmarys
Mincyt_VE,cytdanmarys
