Source,Target,Type,Id,Label,Weight
from,to,Directed,0,,1
OpenSciTalk,pastorams,Directed,1,,3
Wakkos,Xaviju,Directed,2,,1
Frankli13533535,carmenansio,Directed,3,,1
Hildegar_Rojas,lubrio,Directed,4,,1
MundoFAU_uchile,revistasuchile,Directed,5,,1
GoryPatino,TicEducativas,Directed,6,,1
veronicafollana,reumacia,Directed,7,,1
CNAB_ANDI,sibcolombia,Directed,8,,2
Adrian_Towy,elsatch,Directed,9,,1
OpenSciTalk,KnowmadInstitut,Directed,10,,3
PrometeoNews,lubrio,Directed,11,,1
unelibros,UAM_Ediciones,Directed,12,,1
antadi,TicEducativas,Directed,13,,1
KlaatuRules,PabloOliveraDaS,Directed,14,,1
GarciaAdelina3,TicEducativas,Directed,15,,1
jmgolindano,lubrio,Directed,16,,1
adan_vila,TicEducativas,Directed,17,,1
darlenisrojas2,NELLYCANNIZZARO,Directed,18,,1
Fepile9,TicEducativas,Directed,19,,1
donnrata,carmenansio,Directed,20,,1
FundaciteGuaric,FundaciteGuaric,Directed,21,,4
Andreyeperezb,TicEducativas,Directed,22,,1
zuleimabri,NELLYCANNIZZARO,Directed,25,,2
EIF_URJC,IntellRobotLabs,Directed,27,,1
omiratia,TicEducativas,Directed,28,,2
ArmenYuri,DOAJplus,Directed,29,,1
DoraMMR,sibcolombia,Directed,30,,1
serudda,serudda,Directed,32,,1
JessLug01337655,lubrio,Directed,33,,1
lauradillonar,TicEducativas,Directed,34,,1
AtomWhyred,manuelernestog,Directed,35,,1
OpenSciTalk,elapdis,Directed,36,,13
Surdys_ciencia,SergioMartinGu3,Directed,37,,1
baac15,TicEducativas,Directed,38,,1
omiratia,AyudaMaestros,Directed,39,,1
javiercuervo,Delachica,Directed,40,,1
talostalio,elhackernet,Directed,41,,1
Milanes_guisado,bibupo,Directed,42,,1
Juancams98,IntellRobotLabs,Directed,43,,1
MachadoELDA,TicEducativas,Directed,44,,1
AIrPB19,TicEducativas,Directed,45,,1
mavii,TicEducativas,Directed,46,,1
cevivas,CDCHUCV,Directed,47,,1
WalfaroBalerio,cienciaabierta,Directed,48,,1
ana_larranaga10,cogitimadrid,Directed,49,,1
gafajardog,TicEducativas,Directed,50,,1
SrToshi,DotCSV,Directed,51,,1
arembrandtrs,miguelenlared,Directed,52,,1
OpenSciTalk,revstul,Directed,53,,15
LucasMartin1973,dronesdeguerra,Directed,54,,1
RagnarokReinier,manuelernestog,Directed,55,,1
bibliotecasCSIC,Bibtntcsic,Directed,56,,1
albertccs1976,DotCSV,Directed,57,,1
melancolicoton,TicEducativas,Directed,58,,1
jfbaezv,TecnoIA1,Directed,59,,1
emachin13,joaquinfdezoft,Directed,60,,1
amtega,Mancomun_gal,Directed,61,,2
arturomatson,TicEducativas,Directed,63,,1
xexiBKS,DotCSV,Directed,64,,1
psidoctor1971,TicEducativas,Directed,65,,1
firemelon23,DotCSV,Directed,66,,1
rafaelo59999377,Mincyt_VE,Directed,67,,1
comunicalibros,CarlosRguezPrez,Directed,68,,1
rutxigarcia,miguelenlared,Directed,69,,1
Phoenix_richard,TicEducativas,Directed,70,,1
SorayaMuoz,Delachica,Directed,71,,1
pnplup,DotCSV,Directed,72,,1
bailasamaritano,carmenansio,Directed,73,,1
Nest4p,ANID_Abierta,Directed,74,,1
Juanfma10,CaveCoder,Directed,75,,1
Ipostelcentll,cytdanmarys,Directed,76,,2
los_it,yoantoniorivera,Directed,77,,1
Mathiusm10,CaveCoder,Directed,79,,1
bruxulanews,labnuevoleon,Directed,80,,1
ForoGPP,GoblabUAI,Directed,81,,1
LibreLabGRX,OSLUGR,Directed,82,,1
dianamaffia,ONUMujeresArg,Directed,83,,1
miguelnavasf,PilaRicoCastro,Directed,84,,1
josecowboy0896,elhackernet,Directed,85,,1
barayonicuss,elhackernet,Directed,86,,1
jimdelarosa,ANID_Abierta,Directed,87,,3
jmpevzla,elhackernet,Directed,88,,1
MCastellH,yoantoniorivera,Directed,89,,1
sotilon,msdevlatam,Directed,90,,1
Felix_del_alamo,CaveCoder,Directed,91,,1
vero_vm,ANID_Abierta,Directed,92,,1
Eabad039,contrataenlinea,Directed,93,,1
la_fillesauvage,socialtic,Directed,94,,1
Josealonso2209,elhackernet,Directed,95,,1
lu_uani,socialtic,Directed,96,,1
UPM_Press,PilaRicoCastro,Directed,97,,1
barb_rivera,pastorams,Directed,98,,1
iVVVVVVanen,yoantoniorivera,Directed,99,,1
LEONARDTR,contrataenlinea,Directed,100,,1
BalamSinhue,indshields,Directed,101,,1
raivenra,ESFGALICIA,Directed,102,,4
PsicoUChile,revistasuchile,Directed,103,,1
_vivianariass,contrataenlinea,Directed,104,,1
joseand86380041,ESFGALICIA,Directed,105,,2
nico_kings,explorarmso,Directed,106,,1
