"","id_str"
"1","1636035023345446912"
"2","1633471881020948480"
"3","1636160009150013440"
"4","1636153411056943110"
"5","1636153167183482881"
"6","1636146457869705216"
"7","1636144789266608132"
"8","1636142143268945923"
"9","1636139632898260992"
"10","1636132684282855428"
"11","1636129018322862080"
"12","1636127576929312768"
"13","1636123136935575554"
"14","1636122099923263488"
"15","1636115528434561025"
"16","1636111656420888576"
"17","1636109466998374400"
"18","1636105585090510848"
"19","1636103831510548480"
"20","1636103569295196161"
"21","1636103485916696576"
"22","1636102731822686210"
"23","1636101885265424386"
"24","1636098759531671553"
"25","1636098714321186820"
"26","1636096862485708801"
"27","1636096232413343746"
"28","1636095424447619075"
"29","1636095266947231744"
"30","1636091408955080711"
"31","1636090708414046208"
"32","1636090494529974273"
"33","1636090117977968640"
"34","1636089373560012806"
"35","1636087972217999363"
"36","1636084789223497731"
"37","1636082968933416961"
"38","1636080598333702145"
"39","1636077614971461632"
"40","1636075123076919296"
"41","1636073074444447748"
"42","1636069350409920517"
"43","1636063789916225537"
"44","1636063663680364545"
"45","1636063582960906243"
"46","1636060061502959617"
"47","1636060028665733121"
"48","1636057295900516353"
"49","1636055323143184390"
"50","1636054900269252610"
"51","1636054777019736067"
"52","1636053193892167681"
"53","1636052929391017986"
"54","1636048361060016130"
"55","1636046706239488007"
"56","1636045999520006144"
"57","1636045892053614594"
"58","1636045554709938176"
"59","1636045359628664839"
"60","1636045184634085377"
"61","1636044015190654978"
"62","1636042681641058306"
"63","1636042415822848000"
"64","1636039786854072325"
"65","1636039470179926021"
"66","1636036301580378116"
"67","1636035445107703809"
"68","1636035200516849664"
"69","1636035077745328130"
"70","1636035023345446912"
"71","1636032218404474881"
"72","1636024579943542786"
"73","1636018435397152771"
"74","1636008700077920256"
"75","1636008657220411392"
"76","1636004090047000576"
"77","1636003310019682315"
"78","1635999474047696898"
"79","1635999471430500352"
"80","1635996394723983361"
"81","1635987616326615047"
"82","1635984384934268930"
"83","1635983987620339714"
"84","1635983074872655873"
"85","1635975083767353344"
"86","1635973285400698883"
"87","1635972527661957121"
"88","1635969419837952003"
"89","1635967838811836417"
"90","1635965107195858944"
"91","1635964569888645123"
"92","1635957272932409345"
"93","1635956998985400320"
"94","1635955095824154625"
"95","1635953853509107716"
"96","1635947082358857729"
"97","1635943925310713856"
"98","1635943036482879489"
"99","1635917567607939141"
"100","1635913728247095296"
"101","1633468995717169155"
"102","1633468054595072000"
"103","1633466334049861633"
"104","1633466079191384070"
"105","1633465836932575232"
"106","1633465522951159809"
"107","1633464696752996354"
"108","1633464023931912192"
"109","1633460191055446019"
"110","1633455843998834694"
"111","1633451514210447361"
"112","1633427877638094848"
"113","1633423078414745601"
"114","1633419699437305858"
"115","1633418518774312962"
"116","1633405788952698880"
"117","1633401120822272002"
"118","1633394212656885760"
"119","1633393413344096256"
"120","1633354226309922818"
"121","1633310294809223168"
"122","1633296847560114182"
"123","1633295542481461248"
"124","1633295416434278406"
"125","1633291044346314753"
"126","1633284333078233091"
"127","1633281687730769920"
"128","1633278166625050627"
"129","1633277879306911746"
"130","1633275878154153984"
"131","1633271514807115781"
"132","1633269517768957955"
"133","1633259402357624832"
"134","1633259080977469440"
"135","1633256221237993472"
"136","1633255167633027072"
"137","1633253175095439361"
"138","1633251179517083649"
"139","1633249475119529985"
"140","1633248474908041216"
"141","1633248436152594433"
"142","1633242858055430145"
